Brand,Price,Color,Features,Condition,GPU,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Ram Size
10,101.0,19,1,1,4,5,4,69.0,69.0,69.0
10,62.94,19,1,1,4,5,4,69.0,69.0,69.0
10,116.25,19,1,10,4,5,4,69.0,69.0,69.0
10,20.78,19,1,1,4,5,4,69.0,69.0,69.0
10,104.44,19,1,1,4,5,4,69.0,69.0,69.0
10,667.5,19,1,7,0,0,4,69.0,960.0,69.0
10,332.0,0,1,7,0,5,4,69.0,69.0,69.0
10,339.2,19,1,8,0,5,4,69.0,69.0,69.0
10,131.2,19,1,1,4,5,4,69.0,69.0,69.0
10,29.86,19,1,1,4,5,4,69.0,69.0,69.0
2,1132.0,0,1,8,0,0,4,69.0,2.0,69.0
10,60.78,19,1,1,4,5,4,69.0,69.0,69.0
2,453.8,19,4,8,0,0,0,69.0,240.0,69.0
5,70.0,19,1,1,4,5,4,69.0,69.0,69.0
10,354.0,0,1,7,0,5,4,69.0,69.0,69.0
10,571.5,19,1,8,0,5,4,69.0,69.0,69.0
1,283.2,19,7,8,1,0,4,69.0,240.0,69.0
10,318.2,19,1,6,0,5,4,69.0,69.0,69.0
10,100.1,19,1,8,2,5,4,69.0,69.0,69.0
10,325.8,0,1,8,0,5,4,69.0,69.0,69.0
10,47.0,19,1,1,4,5,4,69.0,69.0,69.0
10,338.8,19,1,7,1,5,4,69.0,69.0,69.0
10,445.8,19,1,7,0,5,4,69.0,69.0,69.0
10,596.5,19,1,8,0,5,4,69.0,69.0,69.0
10,117.06,19,1,10,4,5,4,69.0,69.0,69.0
10,342.2,0,1,7,4,5,4,69.0,69.0,69.0
2,639.0,19,2,8,0,0,4,69.0,240.0,69.0
10,89.25,19,1,1,4,5,4,69.0,69.0,69.0
10,512.0,19,1,7,0,5,4,69.0,69.0,69.0
10,335.8,19,1,8,4,5,4,69.0,69.0,69.0
1,559.5,19,7,8,0,0,4,69.0,2.0,69.0
1,352.5,19,7,8,0,0,4,69.0,240.0,69.0
10,341.8,19,1,8,4,5,4,69.0,69.0,69.0
2,691.5,0,11,8,0,0,2,69.0,960.0,69.0
10,405.2,19,1,8,1,5,4,69.0,69.0,69.0
7,95.0,19,1,1,4,5,4,69.0,69.0,69.0
